Target Search,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Ago
@BBC,1.3687368421052626,5.037894736842106,4.431578947368421,90.5347368421053,4800.0
@CBSNews,0.6721000000000006,8.827,8.158,83.01500000000001,5050.0
@CNN,-6.500099999999999,5.294000000000002,8.636000000000003,86.07,5050.0
@FoxNews,0.9991999999999999,7.076999999999998,7.544,85.37800000000004,5050.0
@nytimes,3.3024000000000013,6.131999999999999,4.854,89.01400000000001,5050.0
